mel-cmo
Input Size (KB)	Execution time (us)
128	32596|5795
256	66159|18863
512	130084|8890
1024	310645|53924
2048	711455|153689
4096	1437842|5399
8192	null|null
16384	null|null
32768 	null|null
65536	null|null
131072	null|null

mel-pfo
Input Size (KB)	Execution time (us)
128	403378|967
256	601928|1338
512	916409|9924
1024	1463568|99264
2048	2341715|22700
4096	4065405|558571
8192	8022025|39158
16384	14676911|92661
32768	28602488|310175	
65536	72886892|40725098
131072	120162268|25433779

mel-scan-nob
Input Size (KB)	Execution time (us)
128	1723210|0
256	4951550|7465
512	14351644|0
1024	41234147|69694
2048	119469777|0
4096	343867573|182782
8192	995734735|328932
16384	2866709741|0
32768	7882067660|0
65536	22663710268|0
131072	65313132343|0	
