merge-sort
Data Size (KB) 	Execution time (us)
64	11214027|0
128	22451170|0
256	44959436|0
512	null|null
1024	null|null
2048	null|null
4096	null|null
8192	null|null
16384	null|null
32768	null|null
65536	null|null


merge-sort-scan
Data Size (KB)	Execution time (us)
64	13053992|0
128	27666774|0
256	59718895|0
512	129982633|0
1024	236976024|0
2048	530133213|0
4096	1194309931|0
8192	2763658762|0
16384	5500000001|0
32768	11100000002|0
65536	22200113113|0


merge-sort-pfo
64	11095413|0
128	22179324|0
256	44553749|0
512	92741102|0
1024	177887630|0
2048	356884784|0
4096	725264787|0
8192	1473165154|0
16384	2863026031|0
32768	5828353876|0
65536	11472567199|0
